Date,Total Rainfall (mm),Mean Humidity (%)
2015-07-25,0.8,82
2015-07-26,0.0,79
2015-07-27,0.0,75
2015-07-28,16.5,79
2015-07-29,2.9,76
2015-07-30,0.5,68
2015-07-31,30.1,83
2015-08-01,15.6,90
2015-08-02,0.1,84
2015-08-03,0.2,82
2015-08-04,2.2,86
2015-08-05,15.7,92
2015-08-06,19.1,87
2015-08-07,18.3,89
2015-08-08,31.4,88
2015-08-09,15.1,86
2015-08-10,9.0,86
2015-08-11,6.8,87
2015-08-12,32.5,90
2015-08-13,10.2,88
2015-08-14,9.0,89
2015-08-15,9.8,90
2015-08-16,15.1,91
2015-08-17,5.9,90
2015-08-18,10.5,92
2015-08-19,13.7,94
2015-08-20,75.0,96
2015-08-21,11.6,91
2015-08-22,21.1,91
2015-08-23,40.3,94
2015-08-24,16.9,89
2015-08-25,7.2,88
2015-08-26,23.8,93
2015-08-27,22.4,93
2015-08-28,7.6,90
2015-08-29,30.5,95
2015-08-30,16.5,92
2015-08-31,50.8,97
2015-09-01,25.6,95
2015-09-02,33.9,94
2015-09-03,33.8,92
2015-09-04,31.1,93
2015-09-05,21.2,91
2015-09-06,10.2,92
2015-09-07,1.6,89
2015-09-08,0.0,87
2015-09-09,1.9,86
2015-09-10,22.5,89
2015-09-11,20.2,91
2015-09-12,1.0,85
2015-09-13,7.5,84
2015-09-14,10.2,89
2015-09-15,22.9,91
2015-09-16,0.6,85
2015-09-17,0.1,84
2015-09-18,0.0,80
2015-09-19,40.5,83
2015-09-20,60.7,96
2015-09-21,13.7,95
2015-09-22,22.9,95
2015-09-23,24.0,97
2015-09-24,4.0,95
2015-09-25,1.8,82
2015-09-26,0.0,80
2015-09-27,0.0,78
2015-09-28,0.0,79
2015-09-29,0.0,80
2015-09-30,0.0,84
2015-10-01,1.0,83
2015-10-02,0.5,83
2015-10-03,1.3,84
2015-10-04,0.3,84
2015-10-05,0.0,78
2015-10-06,0.0,82
2015-10-07,6.8,85
2015-10-08,3.5,87
2015-10-09,0.4,85
2015-10-10,4.4,87
2015-10-11,2.6,88
2015-10-12,2.6,83
2015-10-13,3.1,80
2015-10-14,11.3,87
2015-10-15,3.8,86
2015-10-16,1.7,85
2015-10-17,1.1,82
2015-10-18,0.0,79
2015-10-19,0.0,83
2015-10-20,0.0,85
2015-10-21,0.1,84
2015-10-22,1.7,84
2015-10-23,3.0,90
2015-10-24,0.4,87
2015-10-25,0.0,81
2015-10-26,0.0,79
2015-10-27,0.0,80
2015-10-28,0.0,76
2015-10-29,0.0,75
2015-10-30,0.0,76
2015-10-31,0.5,79
2015-11-01,0.0,78
2015-11-02,3.2,80
2015-11-03,0.2,83
2015-11-04,1.0,84
2015-11-05,0.3,85
2015-11-06,0.5,85
2015-11-07,0.0,79
2015-11-08,0.0,74
2015-11-09,0.0,73
2015-11-10,0.0,73
2015-11-11,0.0,70
2015-11-12,0.0,71
2015-11-13,0.0,74
2015-11-14,0.2,76
2015-11-15,0.8,81
2015-11-16,0.1,82
2015-11-17,0.0,83
2015-11-18,0.1,84
2015-11-19,0.0,81
2015-11-20,0.0,79
2015-11-21,0.0,79
2015-11-22,0.0,77
2015-11-23,0.0,74
2015-11-24,0.0,76
2015-11-25,0.0,76
2015-11-26,0.0,71
2015-11-27,0.0,74
2015-11-28,0.0,72
2015-11-29,0.0,73
2015-11-30,0.0,73
2015-12-01,0.0,77
2015-12-02,0.0,78
2015-12-03,1.2,84
2015-12-04,0.5,84
2015-12-05,0.0,82
2015-12-06,0.0,78
2015-12-07,0.0,77
2015-12-08,0.3,77
2015-12-09,0.0,74
2015-12-10,0.0,79
2015-12-11,1.8,85
2015-12-12,6.1,90
2015-12-13,1.1,85
2015-12-14,0.0,84
2015-12-15,0.1,84
2015-12-16,0.0,75
2015-12-17,0.0,73
2015-12-18,0.0,75
2015-12-19,0.5,80
2015-12-20,0.0,78
2015-12-21,0.0,74
2015-12-22,0.0,73
2015-12-23,0.0,73
2015-12-24,0.0,69
2015-12-25,0.0,66
2015-12-26,0.0,74
2015-12-27,0.0,72
2015-12-28,0.0,76
2015-12-29,0.0,70
2015-12-30,0.0,74
2015-12-31,0.2,77
2016-01-01,0.0,78
2016-01-02,0.0,76
2016-01-03,0.0,75
2016-01-04,0.0,72
2016-01-05,0.0,76
2016-01-06,0.0,67
2016-01-07,0.0,70
2016-01-08,0.8,73
2016-01-09,23.1,92
2016-01-10,0.2,83
2016-01-11,0.0,78
2016-01-12,0.0,73
2016-01-13,0.0,72
2016-01-14,0.0,79
2016-01-15,0.0,80
2016-01-16,1.4,84
2016-01-17,0.0,76
2016-01-18,0.0,77
2016-01-19,0.0,75
2016-01-20,8.8,83
2016-01-21,0.0,83
2016-01-22,0.0,86
2016-01-23,0.0,82
2016-01-24,0.0,80
2016-01-25,0.2,82
2016-01-26,1.1,87
2016-01-27,5.5,87
2016-01-28,0.0,83
2016-01-29,0.0,74
2016-01-30,0.0,74
2016-01-31,0.0,83
2016-02-01,0.4,82
2016-02-02,0.1,85
2016-02-03,0.1,87
2016-02-04,0.0,83
2016-02-05,0.0,79
2016-02-06,0.0,80
2016-02-07,0.0,77
2016-02-08,1.2,77
2016-02-09,2.7,84
2016-02-10,0.5,87
2016-02-11,1.2,82
2016-02-12,1.3,84
2016-02-13,0.0,83
2016-02-14,0.0,79
2016-02-15,0.0,78
2016-02-16,0.0,75
2016-02-17,0.0,77
2016-02-18,0.0,78
2016-02-19,0.3,78
2016-02-20,2.1,80
2016-02-21,0.6,77
2016-02-22,0.0,60
2016-02-23,0.0,69
2016-02-24,0.0,70
2016-02-25,0.0,71
2016-02-26,0.0,69
2016-02-27,0.0,64
2016-02-28,0.0,63
2016-02-29,0.0,65
2016-03-01,0.0,69
2016-03-02,0.0,68
2016-03-03,0.4,68
2016-03-04,3.6,74
2016-03-05,0.0,71
2016-03-06,0.5,71
2016-03-07,1.6,74
2016-03-08,1.0,71
2016-03-09,0.5,70
2016-03-10,0.0,70
2016-03-11,0.0,69
2016-03-12,0.0,70
2016-03-13,0.1,66
2016-03-14,0.0,59
2016-03-15,0.0,54
2016-03-16,0.4,46
2016-03-17,0.0,50
2016-03-18,0.0,56
2016-03-19,0.2,55
2016-03-20,0.9,62
2016-03-21,9.2,79
2016-03-22,0.0,66
2016-03-23,0.0,60
2016-03-24,0.0,55
2016-03-25,0.0,52
2016-03-26,0.0,51
2016-03-27,15.1,78
2016-03-28,13.4,92
2016-03-29,1.0,83
2016-03-30,2.5,79
2016-03-31,9.1,83
2016-04-01,5.1,83
2016-04-02,0.2,75
2016-04-03,7.4,74
2016-04-04,4.7,85
2016-04-05,24.8,91
2016-04-06,10.4,86
2016-04-07,9.9,85
2016-04-08,6.6,73
2016-04-09,2.8,74
2016-04-10,0.7,77
2016-04-11,2.4,78
2016-04-12,0.1,75
2016-04-13,0.0,64
2016-04-14,5.3,74
2016-04-15,14.8,79
2016-04-16,9.5,82
2016-04-17,4.0,81
2016-04-18,13.9,85
2016-04-19,29.4,92
2016-04-20,15.6,87
2016-04-21,77.0,89
2016-04-22,13.2,86
2016-04-23,11.8,87
2016-04-24,19.3,86
2016-04-25,0.0,74
2016-04-26,12.3,81
2016-04-27,18.6,87
2016-04-28,4.8,87
2016-04-29,2.6,83
2016-04-30,8.9,86
2016-05-01,16.1,85
2016-05-02,0.5,81
2016-05-03,0.4,78
2016-05-04,2.1,82
2016-05-05,14.9,86
2016-05-06,5.6,88
2016-05-07,5.8,85
2016-05-08,0.0,79
2016-05-09,0.0,77
2016-05-10,0.2,76
2016-05-11,9.2,80
2016-05-12,11.9,82
2016-05-13,33.2,89
2016-05-14,23.3,92
2016-05-15,73.1,89
2016-05-16,44.4,93
2016-05-17,39.4,90
2016-05-18,23.8,92
2016-05-19,4.4,87
2016-05-20,13.1,86
2016-05-21,11.5,91
2016-05-22,4.6,79
2016-05-23,0.0,79
2016-05-24,1.5,79
2016-05-25,5.8,86
2016-05-26,1.4,86
2016-05-27,7.4,89
2016-05-28,3.5,88
2016-05-29,12.5,87
2016-05-30,7.9,88
2016-05-31,3.2,85
2016-06-01,1.8,86
2016-06-02,0.3,79
2016-06-03,0.2,79
2016-06-04,1.0,81
2016-06-05,5.9,83
2016-06-06,5.7,86
2016-06-07,18.9,88
2016-06-08,4.4,87
2016-06-09,1.7,85
2016-06-10,8.6,86
2016-06-11,9.9,84
2016-06-12,11.4,87
2016-06-13,15.1,89
2016-06-14,11.3,88
2016-06-15,23.2,87
2016-06-16,16.6,89
2016-06-17,28.9,94
2016-06-18,37.4,93
2016-06-19,2.1,91
2016-06-20,1.9,88
2016-06-21,2.1,88
2016-06-22,12.4,90
2016-06-23,15.4,95
2016-06-24,1.7,91
2016-06-25,13.2,90
2016-06-26,2.2,85
2016-06-27,16.7,89
2016-06-28,15.4,87
2016-06-29,11.4,87
2016-06-30,1.6,88
2016-07-01,14.3,90
2016-07-02,73.9,94
2016-07-03,38.2,92
2016-07-04,14.3,92
2016-07-05,32.2,92
2016-07-06,28.9,90
2016-07-07,22.3,91
2016-07-08,8.0,87
2016-07-09,47.8,92
2016-07-10,55.6,90
2016-07-11,21.8,92
2016-07-12,17.3,91
2016-07-13,5.4,88
2016-07-14,10.6,91
2016-07-15,14.7,90
2016-07-16,66.1,95
2016-07-17,23.6,93
2016-07-18,9.0,93
2016-07-19,9.9,92
2016-07-20,14.2,93
2016-07-21,7.4,93
2016-07-22,18.2,94
2016-07-23,10.1,93
2016-07-24,14.0,90
2016-07-25,40.8,94
2016-07-26,87.3,96
2016-07-27,22.0,90
2016-07-28,19.2,90
2016-07-29,18.9,88
2016-07-30,11.3,87
2016-07-31,31.8,87
2016-08-01,8.4,85
2016-08-02,24.8,87
2016-08-03,14.6,83
2016-08-04,10.7,86
2016-08-05,27.5,91
2016-08-06,59.2,94
2016-08-07,29.3,91
2016-08-08,31.0,88
2016-08-09,40.8,90
2016-08-10,13.0,84
2016-08-11,12.7,81
2016-08-12,14.9,91
2016-08-13,2.7,86
2016-08-14,6.9,86
2016-08-15,1.4,84
2016-08-16,6.3,84
2016-08-17,15.1,84
2016-08-18,1.7,88
2016-08-19,0.0,79
2016-08-20,0.3,80
2016-08-21,8.2,80
2016-08-22,1.8,79
2016-08-23,0.0,80
2016-08-24,0.4,78
2016-08-25,0.0,79
2016-08-26,12.9,85
2016-08-27,0.7,83
2016-08-28,10.7,86
2016-08-29,5.0,88
2016-08-30,15.2,89
2016-08-31,11.9,92
2016-09-01,0.5,88
2016-09-02,11.1,90
2016-09-03,5.4,91
2016-09-04,16.0,92
2016-09-05,12.5,93
2016-09-06,18.8,91
2016-09-07,40.7,94
2016-09-08,1.3,87
2016-09-09,5.8,88
2016-09-10,9.7,91
2016-09-11,25.7,89
2016-09-12,17.6,89
2016-09-13,49.2,93
2016-09-14,54.9,90
2016-09-15,21.8,89
2016-09-16,21.1,92
2016-09-17,9.0,87
2016-09-18,8.0,90
2016-09-19,25.9,92
2016-09-20,12.2,90
2016-09-21,37.7,95
2016-09-22,13.4,90
2016-09-23,8.4,91
2016-09-24,10.2,90
2016-09-25,10.6,91
2016-09-26,24.7,90
2016-09-27,1.2,85
2016-09-28,5.0,83
2016-09-29,32.2,89
2016-09-30,4.1,87
2016-10-01,2.3,87
2016-10-02,6.4,84
2016-10-03,8.5,85
2016-10-04,1.3,83
2016-10-05,10.1,84
2016-10-06,26.9,89
2016-10-07,15.9,89
2016-10-08,18.1,90
2016-10-09,5.1,91
2016-10-10,7.0,91
2016-10-11,121.0,95
2016-10-12,31.1,93
2016-10-13,3.5,88
2016-10-14,0.2,85
2016-10-15,0.2,85
2016-10-16,0.2,78
2016-10-17,0.0,80
2016-10-18,0.0,79
2016-10-19,0.0,72
2016-10-20,0.0,79
2016-10-21,0.0,79
2016-10-22,0.0,80
2016-10-23,0.0,74
2016-10-24,0.0,74
2016-10-25,0.1,77
2016-10-26,0.0,79
2016-10-27,3.4,88
2016-10-28,0.0,82
2016-10-29,0.0,81
2016-10-30,0.4,78
2016-10-31,1.2,76
2016-11-01,0.0,76
2016-11-02,0.0,73
2016-11-03,0.0,72
2016-11-04,0.0,75
2016-11-05,0.0,82
2016-11-06,0.0,77
2016-11-07,0.0,77
2016-11-08,0.0,82
2016-11-09,0.0,78
2016-11-10,0.0,71
2016-11-11,0.6,81
2016-11-12,1.0,82
2016-11-13,0.1,79
2016-11-14,0.0,75
2016-11-15,0.0,76
2016-11-16,0.0,73
2016-11-17,0.0,69
2016-11-18,0.0,70
2016-11-19,0.0,71
2016-11-20,0.0,69
2016-11-21,0.0,68
2016-11-22,0.0,71
2016-11-23,0.0,66
2016-11-24,0.0,68
2016-11-25,0.0,70
2016-11-26,0.0,70
2016-11-27,0.0,72
2016-11-28,0.0,74
2016-11-29,0.0,76
2016-11-30,0.0,75
2016-12-01,0.2,73
2016-12-02,0.0,74
2016-12-03,0.0,72
2016-12-04,0.0,72
2016-12-05,0.0,74
2016-12-06,0.0,71
2016-12-07,0.0,70
2016-12-08,0.0,70
2016-12-09,0.0,70
2016-12-10,0.0,70
2016-12-11,0.0,70
2016-12-12,0.0,70
2016-12-13,0.0,70
2016-12-14,0.0,71
2016-12-15,0.0,69
2016-12-16,0.0,71
2016-12-17,0.0,68
2016-12-18,0.0,71
2016-12-19,0.1,83
2016-12-20,0.2,81
2016-12-21,0.0,77
2016-12-22,0.0,76
2016-12-23,0.0,75
2016-12-24,0.3,80
2016-12-25,0.5,81
2016-12-26,0.5,84
2016-12-27,0.0,80
2016-12-28,0.0,78
2016-12-29,0.0,74
2016-12-30,0.0,72
2016-12-31,0.0,70
2017-01-01,0.0,72
2017-01-02,0.0,73
2017-01-03,0.2,76
2017-01-04,0.0,76
2017-01-05,0.0,76
2017-01-06,0.0,71
2017-01-07,0.0,70
2017-01-08,0.0,74
2017-01-09,0.0,72
2017-01-10,0.4,83
2017-01-11,0.1,78
2017-01-12,0.2,75
2017-01-13,0.0,65
2017-01-14,0.0,67
2017-01-15,0.0,70
2017-01-16,0.0,74
2017-01-17,0.0,74
2017-01-18,0.0,70
2017-01-19,0.0,73
2017-01-20,0.0,71
2017-01-21,0.0,72
2017-01-22,0.0,71
2017-01-23,0.0,72
2017-01-24,0.0,69
2017-01-25,0.0,66
2017-01-26,0.0,66
2017-01-27,0.0,70
2017-01-28,1.2,78
2017-01-29,0.0,77
2017-01-30,0.0,75
2017-01-31,1.7,78
2017-02-01,1.0,79
2017-02-02,0.4,78
2017-02-03,0.0,75
2017-02-04,0.0,71
2017-02-05,0.0,70
2017-02-06,0.0,60
2017-02-07,0.0,71
2017-02-08,0.4,72
2017-02-09,0.0,68
2017-02-10,0.0,67
2017-02-11,0.0,65
2017-02-12,0.0,69
2017-02-13,0.0,65
2017-02-14,0.0,63
2017-02-15,0.0,63
2017-02-16,0.0,67
2017-02-17,0.0,65
2017-02-18,0.0,65
2017-02-19,0.0,64
2017-02-20,7.4,80
2017-02-21,1.1,86
2017-02-22,2.6,84
2017-02-23,0.0,73
2017-02-24,0.0,56
2017-02-25,0.1,64
2017-02-26,0.0,61
2017-02-27,0.2,74
2017-02-28,0.0,69
2017-03-01,0.3,68
2017-03-02,0.7,72
2017-03-03,0.0,71
2017-03-04,0.0,56
2017-03-05,0.2,77
2017-03-06,0.0,68
2017-03-07,0.1,66
2017-03-08,0.1,68
2017-03-09,0.2,71
2017-03-10,7.2,77
2017-03-11,19.8,91
2017-03-12,1.4,77
2017-03-13,0.0,57
2017-03-14,0.0,59
2017-03-15,0.0,61
2017-03-16,0.0,62
2017-03-17,0.1,67
2017-03-18,4.7,77
2017-03-19,0.3,77
2017-03-20,5.7,77
2017-03-21,0.2,71
2017-03-22,0.4,71
2017-03-23,0.0,66
2017-03-24,0.3,69
2017-03-25,5.3,82
2017-03-26,0.6,80
2017-03-27,0.3,75
2017-03-28,11.7,85
2017-03-29,4.8,91
2017-03-30,38.5,92
2017-03-31,19.9,87
2017-04-01,35.2,95
2017-04-02,44.5,91
2017-04-03,11.9,90
2017-04-04,27.5,94
2017-04-05,1.4,83
2017-04-06,1.7,83
2017-04-07,2.2,87
2017-04-08,3.7,89
2017-04-09,0.2,72
2017-04-10,0.0,69
2017-04-11,0.0,71
2017-04-12,0.0,69
2017-04-13,0.0,66
2017-04-14,0.2,69
2017-04-15,18.1,80
2017-04-16,0.8,84
2017-04-17,0.0,79
2017-04-18,0.3,72
2017-04-19,3.3,87
2017-04-20,24.9,90
2017-04-21,28.2,94
2017-04-22,38.4,95
2017-04-23,4.7,83
2017-04-24,8.2,90
2017-04-25,1.1,91
2017-04-26,1.6,84
2017-04-27,0.1,84
2017-04-28,0.3,82
2017-04-29,0.2,82
2017-04-30,3.0,82
2017-05-01,0.6,84
2017-05-02,0.0,81
2017-05-03,1.7,82
2017-05-04,1.7,84
2017-05-05,0.2,87
2017-05-06,1.3,83
2017-05-07,9.2,83
2017-05-08,1.2,84
2017-05-09,13.1,87
2017-05-10,2.3,81
2017-05-11,16.7,90
2017-05-12,0.3,81
2017-05-13,6.2,80
2017-05-14,10.9,88
2017-05-15,4.7,86
2017-05-16,3.2,87
2017-05-17,5.1,83
2017-05-18,8.4,85
2017-05-19,3.8,88
2017-05-20,1.9,87
2017-05-21,3.5,85
2017-05-22,2.6,85
2017-05-23,22.6,89
2017-05-24,2.6,88
2017-05-25,14.8,91
2017-05-26,31.8,87
2017-05-27,4.2,85
2017-05-28,1.3,83
2017-05-29,1.9,79
2017-05-30,55.6,86
2017-05-31,8.9,84
2017-06-01,3.6,89
2017-06-02,37.0,92
2017-06-03,10.8,90
2017-06-04,9.0,88
2017-06-05,2.3,87
2017-06-06,0.3,83
2017-06-07,0.0,78
2017-06-08,2.4,80
2017-06-09,2.4,78
2017-06-10,3.2,82
2017-06-11,10.6,86
2017-06-12,42.6,94
2017-06-13,64.7,94
2017-06-14,0.7,86
2017-06-15,5.0,86
2017-06-16,47.8,95
2017-06-17,23.9,93
2017-06-18,4.7,90
2017-06-19,13.0,91
2017-06-20,9.5,90
2017-06-21,8.0,88
2017-06-22,30.8,94
2017-06-23,10.2,85
2017-06-24,23.7,87
2017-06-25,12.6,88
2017-06-26,8.9,85
2017-06-27,11.6,86
2017-06-28,24.8,88
2017-06-29,16.3,85
2017-06-30,18.8,93
2017-07-01,54.4,95
2017-07-02,36.0,96
2017-07-03,79.0,97
2017-07-04,30.8,95
2017-07-05,29.0,92
2017-07-06,28.1,89
2017-07-07,2.2,88
2017-07-08,12.4,90
2017-07-09,17.3,95
2017-07-10,27.3,95
2017-07-11,17.8,91
2017-07-12,25.7,93
2017-07-13,26.9,84
2017-07-14,12.3,85
2017-07-15,5.2,80
2017-07-16,5.9,81
2017-07-17,0.8,83
2017-07-18,5.8,79
2017-07-19,25.4,93
2017-07-20,22.1,91
2017-07-21,1.5,88
2017-07-22,3.4,85
2017-07-23,6.5,86
2017-07-24,17.1,88
2017-07-25,16.5,87
2017-07-26,11.2,88
2017-07-27,16.1,85
2017-07-28,2.8,82
2017-07-29,20.0,87
2017-07-30,2.9,82
2017-07-31,0.7,82
2017-08-01,9.0,88
2017-08-02,47.3,93
2017-08-03,24.6,89
2017-08-04,14.7,89
2017-08-05,19.6,89
2017-08-06,18.0,89
2017-08-07,8.3,89
2017-08-08,8.4,87
2017-08-09,10.9,89
2017-08-10,29.7,95
2017-08-11,64.8,97
2017-08-12,98.2,97
2017-08-13,45.0,95
2017-08-14,4.5,90
2017-08-15,10.2,90
2017-08-16,4.7,89
2017-08-17,8.6,88
2017-08-18,31.7,92
2017-08-19,13.7,87
2017-08-20,11.1,85
2017-08-21,10.3,84
2017-08-22,10.9,84
2017-08-23,8.5,84
2017-08-24,13.7,84
2017-08-25,0.8,81
2017-08-26,17.4,85
2017-08-27,19.5,86
2017-08-28,10.8,88
2017-08-29,1.4,84
2017-08-30,12.4,87
2017-08-31,13.5,88
2017-09-01,24.3,89
2017-09-02,18.3,91
2017-09-03,55.6,92
2017-09-04,7.2,91
2017-09-05,1.7,86
2017-09-06,2.9,84
2017-09-07,4.6,86
2017-09-08,11.5,90
2017-09-09,6.2,93
2017-09-10,13.9,93
2017-09-11,19.9,88
2017-09-12,17.3,91
2017-09-13,10.3,90
2017-09-14,3.3,88
2017-09-15,6.7,86
2017-09-16,0.0,82
2017-09-17,6.2,82
2017-09-18,10.0,90
2017-09-19,4.3,86
2017-09-20,41.6,93
2017-09-21,2.3,88
2017-09-22,0.5,88
2017-09-23,2.1,88
2017-09-24,3.9,89
2017-09-25,11.0,87
2017-09-26,1.4,87
2017-09-27,1.9,84
2017-09-28,2.5,88
2017-09-29,32.8,93
2017-09-30,4.1,96
2017-10-01,6.0,91
2017-10-02,12.6,89
2017-10-03,10.1,87
2017-10-04,0.7,86
2017-10-05,0.0,84
2017-10-06,3.1,80
2017-10-07,29.4,87
2017-10-08,20.7,88
2017-10-09,10.0,90
2017-10-10,0.4,86
2017-10-11,0.1,83
2017-10-12,14.8,86
2017-10-13,5.9,88
2017-10-14,1.6,92
2017-10-15,0.3,85
2017-10-16,2.9,87
2017-10-17,0.0,84
2017-10-18,0.0,84
2017-10-19,1.7,85
2017-10-20,51.3,94
2017-10-21,79.4,93
2017-10-22,4.3,90
2017-10-23,1.0,87
2017-10-24,0.4,83
2017-10-25,0.6,86
2017-10-26,0.0,85
2017-10-27,0.0,80
2017-10-28,0.0,79
2017-10-29,0.1,80
2017-10-30,4.1,90
2017-10-31,0.0,83
2017-11-01,0.0,82
2017-11-02,0.0,80
2017-11-03,0.0,80
2017-11-04,0.0,79
2017-11-05,0.0,78
2017-11-06,0.0,76
2017-11-07,0.0,81
2017-11-08,0.0,83
2017-11-09,0.0,78
2017-11-10,0.0,77
2017-11-11,0.0,76
2017-11-12,0.0,80
2017-11-13,0.0,79
2017-11-14,0.0,76
2017-11-15,0.0,75
2017-11-16,0.0,76
2017-11-17,1.9,82
2017-11-18,0.0,79
2017-11-19,0.0,79
2017-11-20,1.5,79
2017-11-21,0.2,76
2017-11-22,0.9,78
2017-11-23,1.3,79
2017-11-24,0.1,75
2017-11-25,0.1,77
2017-11-26,0.5,72
2017-11-27,2.8,75
2017-11-28,4.4,84
2017-11-29,0.0,80
2017-11-30,0.0,74
2017-12-01,0.0,73
2017-12-02,0.0,73
2017-12-03,0.0,76
2017-12-04,0.0,72
2017-12-05,0.0,71
2017-12-06,0.0,73
2017-12-07,0.0,73
2017-12-08,0.0,75
