,Date,Total Rainfall (mm),Mean Humidity (%),Station
46,2015-02-16,0.0,68,"Railway Colony, Guwahati - APCB_6941"
47,2015-02-17,0.0,67,"Railway Colony, Guwahati - APCB_6941"
48,2015-02-18,0.0,66,"Railway Colony, Guwahati - APCB_6941"
49,2015-02-19,2.2,73,"Railway Colony, Guwahati - APCB_6941"
50,2015-02-20,0.0,74,"Railway Colony, Guwahati - APCB_6941"
51,2015-02-21,1.0,73,"Railway Colony, Guwahati - APCB_6941"
52,2015-02-22,0.0,72,"Railway Colony, Guwahati - APCB_6941"
53,2015-02-23,0.0,71,"Railway Colony, Guwahati - APCB_6941"
54,2015-02-24,0.0,72,"Railway Colony, Guwahati - APCB_6941"
55,2015-02-25,1.5,77,"Railway Colony, Guwahati - APCB_6941"
56,2015-02-26,2.3,82,"Railway Colony, Guwahati - APCB_6941"
57,2015-02-27,7.4,77,"Railway Colony, Guwahati - APCB_6941"
58,2015-02-28,0.4,72,"Railway Colony, Guwahati - APCB_6941"
59,2015-03-01,0.2,77,"Railway Colony, Guwahati - APCB_6941"
60,2015-03-02,0.0,70,"Railway Colony, Guwahati - APCB_6941"
61,2015-03-03,0.5,59,"Railway Colony, Guwahati - APCB_6941"
62,2015-03-04,1.1,65,"Railway Colony, Guwahati - APCB_6941"
63,2015-03-05,0.1,65,"Railway Colony, Guwahati - APCB_6941"
64,2015-03-06,0.0,61,"Railway Colony, Guwahati - APCB_6941"
65,2015-03-07,0.0,61,"Railway Colony, Guwahati - APCB_6941"
66,2015-03-08,0.0,59,"Railway Colony, Guwahati - APCB_6941"
67,2015-03-09,0.0,53,"Railway Colony, Guwahati - APCB_6941"
68,2015-03-10,0.0,54,"Railway Colony, Guwahati - APCB_6941"
69,2015-03-11,0.0,42,"Railway Colony, Guwahati - APCB_6941"
70,2015-03-12,0.0,49,"Railway Colony, Guwahati - APCB_6941"
71,2015-03-13,0.0,56,"Railway Colony, Guwahati - APCB_6941"
72,2015-03-14,0.0,54,"Railway Colony, Guwahati - APCB_6941"
73,2015-03-15,0.0,54,"Railway Colony, Guwahati - APCB_6941"
74,2015-03-16,0.0,53,"Railway Colony, Guwahati - APCB_6941"
75,2015-03-17,0.0,51,"Railway Colony, Guwahati - APCB_6941"
76,2015-03-18,0.0,48,"Railway Colony, Guwahati - APCB_6941"
77,2015-03-19,0.0,46,"Railway Colony, Guwahati - APCB_6941"
78,2015-03-20,0.0,48,"Railway Colony, Guwahati - APCB_6941"
79,2015-03-21,0.0,51,"Railway Colony, Guwahati - APCB_6941"
80,2015-03-22,0.0,54,"Railway Colony, Guwahati - APCB_6941"
81,2015-03-23,1.7,59,"Railway Colony, Guwahati - APCB_6941"
82,2015-03-24,0.0,54,"Railway Colony, Guwahati - APCB_6941"
83,2015-03-25,0.0,54,"Railway Colony, Guwahati - APCB_6941"
84,2015-03-26,0.0,54,"Railway Colony, Guwahati - APCB_6941"
85,2015-03-27,2.5,70,"Railway Colony, Guwahati - APCB_6941"
86,2015-03-28,4.7,80,"Railway Colony, Guwahati - APCB_6941"
87,2015-03-29,0.2,73,"Railway Colony, Guwahati - APCB_6941"
88,2015-03-30,4.5,77,"Railway Colony, Guwahati - APCB_6941"
89,2015-03-31,3.5,74,"Railway Colony, Guwahati - APCB_6941"
90,2015-04-01,12.1,82,"Railway Colony, Guwahati - APCB_6941"
91,2015-04-02,27.4,90,"Railway Colony, Guwahati - APCB_6941"
92,2015-04-03,18.7,85,"Railway Colony, Guwahati - APCB_6941"
93,2015-04-04,13.3,88,"Railway Colony, Guwahati - APCB_6941"
94,2015-04-05,26.4,89,"Railway Colony, Guwahati - APCB_6941"
95,2015-04-06,4.6,84,"Railway Colony, Guwahati - APCB_6941"
96,2015-04-07,1.0,83,"Railway Colony, Guwahati - APCB_6941"
97,2015-04-08,3.8,80,"Railway Colony, Guwahati - APCB_6941"
98,2015-04-09,5.4,85,"Railway Colony, Guwahati - APCB_6941"
99,2015-04-10,0.2,79,"Railway Colony, Guwahati - APCB_6941"
100,2015-04-11,0.0,71,"Railway Colony, Guwahati - APCB_6941"
101,2015-04-12,0.0,66,"Railway Colony, Guwahati - APCB_6941"
102,2015-04-13,0.0,73,"Railway Colony, Guwahati - APCB_6941"
103,2015-04-14,0.0,69,"Railway Colony, Guwahati - APCB_6941"
104,2015-04-15,0.0,67,"Railway Colony, Guwahati - APCB_6941"
105,2015-04-16,0.0,64,"Railway Colony, Guwahati - APCB_6941"
106,2015-04-17,6.1,70,"Railway Colony, Guwahati - APCB_6941"
107,2015-04-18,28.9,88,"Railway Colony, Guwahati - APCB_6941"
108,2015-04-19,4.6,82,"Railway Colony, Guwahati - APCB_6941"
109,2015-04-20,3.2,80,"Railway Colony, Guwahati - APCB_6941"
110,2015-04-21,10.6,89,"Railway Colony, Guwahati - APCB_6941"
111,2015-04-22,38.4,93,"Railway Colony, Guwahati - APCB_6941"
112,2015-04-23,18.2,87,"Railway Colony, Guwahati - APCB_6941"
113,2015-04-24,5.4,85,"Railway Colony, Guwahati - APCB_6941"
114,2015-04-25,4.0,87,"Railway Colony, Guwahati - APCB_6941"
115,2015-04-26,1.0,80,"Railway Colony, Guwahati - APCB_6941"
116,2015-04-27,2.1,81,"Railway Colony, Guwahati - APCB_6941"
117,2015-04-28,4.5,82,"Railway Colony, Guwahati - APCB_6941"
118,2015-04-29,10.3,88,"Railway Colony, Guwahati - APCB_6941"
119,2015-04-30,2.4,84,"Railway Colony, Guwahati - APCB_6941"
120,2015-05-01,5.2,84,"Railway Colony, Guwahati - APCB_6941"
121,2015-05-02,5.5,85,"Railway Colony, Guwahati - APCB_6941"
122,2015-05-03,7.7,86,"Railway Colony, Guwahati - APCB_6941"
123,2015-05-04,2.4,85,"Railway Colony, Guwahati - APCB_6941"
124,2015-05-05,3.6,84,"Railway Colony, Guwahati - APCB_6941"
125,2015-05-06,8.8,85,"Railway Colony, Guwahati - APCB_6941"
126,2015-05-07,8.2,83,"Railway Colony, Guwahati - APCB_6941"
127,2015-05-08,4.8,83,"Railway Colony, Guwahati - APCB_6941"
128,2015-05-09,0.0,76,"Railway Colony, Guwahati - APCB_6941"
129,2015-05-10,6.1,81,"Railway Colony, Guwahati - APCB_6941"
130,2015-05-11,3.0,85,"Railway Colony, Guwahati - APCB_6941"
131,2015-05-12,8.7,86,"Railway Colony, Guwahati - APCB_6941"
132,2015-05-13,11.2,90,"Railway Colony, Guwahati - APCB_6941"
133,2015-05-14,5.5,87,"Railway Colony, Guwahati - APCB_6941"
134,2015-05-15,22.1,91,"Railway Colony, Guwahati - APCB_6941"
135,2015-05-16,1.0,90,"Railway Colony, Guwahati - APCB_6941"
136,2015-05-17,3.3,87,"Railway Colony, Guwahati - APCB_6941"
137,2015-05-18,5.6,87,"Railway Colony, Guwahati - APCB_6941"
138,2015-05-19,1.0,83,"Railway Colony, Guwahati - APCB_6941"
139,2015-05-20,0.2,78,"Railway Colony, Guwahati - APCB_6941"
140,2015-05-21,11.1,87,"Railway Colony, Guwahati - APCB_6941"
141,2015-05-22,4.9,87,"Railway Colony, Guwahati - APCB_6941"
142,2015-05-23,8.0,86,"Railway Colony, Guwahati - APCB_6941"
143,2015-05-24,9.0,87,"Railway Colony, Guwahati - APCB_6941"
144,2015-05-25,15.4,92,"Railway Colony, Guwahati - APCB_6941"
145,2015-05-26,3.6,86,"Railway Colony, Guwahati - APCB_6941"
146,2015-05-27,13.4,86,"Railway Colony, Guwahati - APCB_6941"
147,2015-05-28,10.6,90,"Railway Colony, Guwahati - APCB_6941"
148,2015-05-29,69.1,96,"Railway Colony, Guwahati - APCB_6941"
149,2015-05-30,23.6,95,"Railway Colony, Guwahati - APCB_6941"
150,2015-05-31,52.8,95,"Railway Colony, Guwahati - APCB_6941"
151,2015-06-01,6.0,89,"Railway Colony, Guwahati - APCB_6941"
152,2015-06-02,7.0,88,"Railway Colony, Guwahati - APCB_6941"
153,2015-06-03,4.1,89,"Railway Colony, Guwahati - APCB_6941"
154,2015-06-04,2.6,86,"Railway Colony, Guwahati - APCB_6941"
155,2015-06-05,4.7,89,"Railway Colony, Guwahati - APCB_6941"
156,2015-06-06,3.1,90,"Railway Colony, Guwahati - APCB_6941"
157,2015-06-07,11.7,91,"Railway Colony, Guwahati - APCB_6941"
158,2015-06-08,6.7,91,"Railway Colony, Guwahati - APCB_6941"
159,2015-06-09,16.8,91,"Railway Colony, Guwahati - APCB_6941"
160,2015-06-10,95.7,95,"Railway Colony, Guwahati - APCB_6941"
161,2015-06-11,31.6,93,"Railway Colony, Guwahati - APCB_6941"
162,2015-06-12,16.6,93,"Railway Colony, Guwahati - APCB_6941"
163,2015-06-13,10.0,92,"Railway Colony, Guwahati - APCB_6941"
164,2015-06-14,10.0,89,"Railway Colony, Guwahati - APCB_6941"
165,2015-06-15,13.6,94,"Railway Colony, Guwahati - APCB_6941"
166,2015-06-16,18.8,95,"Railway Colony, Guwahati - APCB_6941"
167,2015-06-17,1.7,89,"Railway Colony, Guwahati - APCB_6941"
168,2015-06-18,12.2,90,"Railway Colony, Guwahati - APCB_6941"
169,2015-06-19,4.1,87,"Railway Colony, Guwahati - APCB_6941"
170,2015-06-20,21.3,89,"Railway Colony, Guwahati - APCB_6941"
171,2015-06-21,21.3,92,"Railway Colony, Guwahati - APCB_6941"
172,2015-06-22,46.2,90,"Railway Colony, Guwahati - APCB_6941"
173,2015-06-23,29.6,92,"Railway Colony, Guwahati - APCB_6941"
174,2015-06-24,7.4,87,"Railway Colony, Guwahati - APCB_6941"
175,2015-06-25,1.5,83,"Railway Colony, Guwahati - APCB_6941"
176,2015-06-26,1.0,77,"Railway Colony, Guwahati - APCB_6941"
177,2015-06-27,1.3,80,"Railway Colony, Guwahati - APCB_6941"
178,2015-06-28,16.4,92,"Railway Colony, Guwahati - APCB_6941"
179,2015-06-29,1.2,85,"Railway Colony, Guwahati - APCB_6941"
180,2015-06-30,0.8,84,"Railway Colony, Guwahati - APCB_6941"
181,2015-07-01,0.9,86,"Railway Colony, Guwahati - APCB_6941"
182,2015-07-02,6.8,86,"Railway Colony, Guwahati - APCB_6941"
183,2015-07-03,1.9,87,"Railway Colony, Guwahati - APCB_6941"
184,2015-07-04,11.1,91,"Railway Colony, Guwahati - APCB_6941"
185,2015-07-05,40.9,95,"Railway Colony, Guwahati - APCB_6941"
186,2015-07-06,5.2,88,"Railway Colony, Guwahati - APCB_6941"
187,2015-07-07,28.7,87,"Railway Colony, Guwahati - APCB_6941"
188,2015-07-08,1.7,83,"Railway Colony, Guwahati - APCB_6941"
189,2015-07-09,3.5,85,"Railway Colony, Guwahati - APCB_6941"
190,2015-07-10,30.1,91,"Railway Colony, Guwahati - APCB_6941"
191,2015-07-11,33.6,91,"Railway Colony, Guwahati - APCB_6941"
192,2015-07-12,1.2,84,"Railway Colony, Guwahati - APCB_6941"
193,2015-07-13,2.8,86,"Railway Colony, Guwahati - APCB_6941"
194,2015-07-14,12.2,91,"Railway Colony, Guwahati - APCB_6941"
195,2015-07-15,38.2,97,"Railway Colony, Guwahati - APCB_6941"
196,2015-07-16,4.4,87,"Railway Colony, Guwahati - APCB_6941"
197,2015-07-17,5.9,84,"Railway Colony, Guwahati - APCB_6941"
198,2015-07-18,21.0,86,"Railway Colony, Guwahati - APCB_6941"
199,2015-07-19,29.2,88,"Railway Colony, Guwahati - APCB_6941"
200,2015-07-20,19.4,91,"Railway Colony, Guwahati - APCB_6941"
201,2015-07-21,77.3,96,"Railway Colony, Guwahati - APCB_6941"
202,2015-07-22,44.1,94,"Railway Colony, Guwahati - APCB_6941"
203,2015-07-23,29.0,92,"Railway Colony, Guwahati - APCB_6941"
204,2015-07-24,14.4,90,"Railway Colony, Guwahati - APCB_6941"
205,2015-07-25,0.8,82,"Railway Colony, Guwahati - APCB_6941"
206,2015-07-26,0.0,79,"Railway Colony, Guwahati - APCB_6941"
207,2015-07-27,0.0,75,"Railway Colony, Guwahati - APCB_6941"
208,2015-07-28,16.5,79,"Railway Colony, Guwahati - APCB_6941"
209,2015-07-29,2.9,76,"Railway Colony, Guwahati - APCB_6941"
210,2015-07-30,0.5,68,"Railway Colony, Guwahati - APCB_6941"
211,2015-07-31,30.1,83,"Railway Colony, Guwahati - APCB_6941"
212,2015-08-01,15.6,90,"Railway Colony, Guwahati - APCB_6941"
213,2015-08-02,0.1,84,"Railway Colony, Guwahati - APCB_6941"
214,2015-08-03,0.2,82,"Railway Colony, Guwahati - APCB_6941"
215,2015-08-04,2.2,86,"Railway Colony, Guwahati - APCB_6941"
216,2015-08-05,15.7,92,"Railway Colony, Guwahati - APCB_6941"
217,2015-08-06,19.1,87,"Railway Colony, Guwahati - APCB_6941"
218,2015-08-07,18.3,89,"Railway Colony, Guwahati - APCB_6941"
219,2015-08-08,31.4,88,"Railway Colony, Guwahati - APCB_6941"
220,2015-08-09,15.1,86,"Railway Colony, Guwahati - APCB_6941"
221,2015-08-10,9.0,86,"Railway Colony, Guwahati - APCB_6941"
222,2015-08-11,6.8,87,"Railway Colony, Guwahati - APCB_6941"
223,2015-08-12,32.5,90,"Railway Colony, Guwahati - APCB_6941"
224,2015-08-13,10.2,88,"Railway Colony, Guwahati - APCB_6941"
225,2015-08-14,9.0,89,"Railway Colony, Guwahati - APCB_6941"
226,2015-08-15,9.8,90,"Railway Colony, Guwahati - APCB_6941"
227,2015-08-16,15.1,91,"Railway Colony, Guwahati - APCB_6941"
228,2015-08-17,5.9,90,"Railway Colony, Guwahati - APCB_6941"
229,2015-08-18,10.5,92,"Railway Colony, Guwahati - APCB_6941"
230,2015-08-19,13.7,94,"Railway Colony, Guwahati - APCB_6941"
231,2015-08-20,75.0,96,"Railway Colony, Guwahati - APCB_6941"
232,2015-08-21,11.6,91,"Railway Colony, Guwahati - APCB_6941"
233,2015-08-22,21.1,91,"Railway Colony, Guwahati - APCB_6941"
234,2015-08-23,40.3,94,"Railway Colony, Guwahati - APCB_6941"
235,2015-08-24,16.9,89,"Railway Colony, Guwahati - APCB_6941"
236,2015-08-25,7.2,88,"Railway Colony, Guwahati - APCB_6941"
237,2015-08-26,23.8,93,"Railway Colony, Guwahati - APCB_6941"
238,2015-08-27,22.4,93,"Railway Colony, Guwahati - APCB_6941"
239,2015-08-28,7.6,90,"Railway Colony, Guwahati - APCB_6941"
240,2015-08-29,30.5,95,"Railway Colony, Guwahati - APCB_6941"
241,2015-08-30,16.5,92,"Railway Colony, Guwahati - APCB_6941"
242,2015-08-31,50.8,97,"Railway Colony, Guwahati - APCB_6941"
243,2015-09-01,25.6,95,"Railway Colony, Guwahati - APCB_6941"
244,2015-09-02,33.9,94,"Railway Colony, Guwahati - APCB_6941"
245,2015-09-03,33.8,92,"Railway Colony, Guwahati - APCB_6941"
246,2015-09-04,31.1,93,"Railway Colony, Guwahati - APCB_6941"
247,2015-09-05,21.2,91,"Railway Colony, Guwahati - APCB_6941"
248,2015-09-06,10.2,92,"Railway Colony, Guwahati - APCB_6941"
249,2015-09-07,1.6,89,"Railway Colony, Guwahati - APCB_6941"
250,2015-09-08,0.0,87,"Railway Colony, Guwahati - APCB_6941"
251,2015-09-09,1.9,86,"Railway Colony, Guwahati - APCB_6941"
252,2015-09-10,22.5,89,"Railway Colony, Guwahati - APCB_6941"
253,2015-09-11,20.2,91,"Railway Colony, Guwahati - APCB_6941"
254,2015-09-12,1.0,85,"Railway Colony, Guwahati - APCB_6941"
255,2015-09-13,7.5,84,"Railway Colony, Guwahati - APCB_6941"
256,2015-09-14,10.2,89,"Railway Colony, Guwahati - APCB_6941"
257,2015-09-15,22.9,91,"Railway Colony, Guwahati - APCB_6941"
258,2015-09-16,0.6,85,"Railway Colony, Guwahati - APCB_6941"
259,2015-09-17,0.1,84,"Railway Colony, Guwahati - APCB_6941"
260,2015-09-18,0.0,80,"Railway Colony, Guwahati - APCB_6941"
261,2015-09-19,40.5,83,"Railway Colony, Guwahati - APCB_6941"
262,2015-09-20,60.7,96,"Railway Colony, Guwahati - APCB_6941"
263,2015-09-21,13.7,95,"Railway Colony, Guwahati - APCB_6941"
264,2015-09-22,22.9,95,"Railway Colony, Guwahati - APCB_6941"
265,2015-09-23,24.0,97,"Railway Colony, Guwahati - APCB_6941"
266,2015-09-24,4.0,95,"Railway Colony, Guwahati - APCB_6941"
267,2015-09-25,1.8,82,"Railway Colony, Guwahati - APCB_6941"
268,2015-09-26,0.0,80,"Railway Colony, Guwahati - APCB_6941"
269,2015-09-27,0.0,78,"Railway Colony, Guwahati - APCB_6941"
270,2015-09-28,0.0,79,"Railway Colony, Guwahati - APCB_6941"
271,2015-09-29,0.0,80,"Railway Colony, Guwahati - APCB_6941"
272,2015-09-30,0.0,84,"Railway Colony, Guwahati - APCB_6941"
273,2015-10-01,1.0,83,"Railway Colony, Guwahati - APCB_6941"
274,2015-10-02,0.5,83,"Railway Colony, Guwahati - APCB_6941"
275,2015-10-03,1.3,84,"Railway Colony, Guwahati - APCB_6941"
276,2015-10-04,0.3,84,"Railway Colony, Guwahati - APCB_6941"
277,2015-10-05,0.0,78,"Railway Colony, Guwahati - APCB_6941"
278,2015-10-06,0.0,82,"Railway Colony, Guwahati - APCB_6941"
279,2015-10-07,6.8,85,"Railway Colony, Guwahati - APCB_6941"
280,2015-10-08,3.5,87,"Railway Colony, Guwahati - APCB_6941"
281,2015-10-09,0.4,85,"Railway Colony, Guwahati - APCB_6941"
282,2015-10-10,4.4,87,"Railway Colony, Guwahati - APCB_6941"
283,2015-10-11,2.6,88,"Railway Colony, Guwahati - APCB_6941"
284,2015-10-12,2.6,83,"Railway Colony, Guwahati - APCB_6941"
285,2015-10-13,3.1,80,"Railway Colony, Guwahati - APCB_6941"
286,2015-10-14,11.3,87,"Railway Colony, Guwahati - APCB_6941"
287,2015-10-15,3.8,86,"Railway Colony, Guwahati - APCB_6941"
288,2015-10-16,1.7,85,"Railway Colony, Guwahati - APCB_6941"
289,2015-10-17,1.1,82,"Railway Colony, Guwahati - APCB_6941"
290,2015-10-18,0.0,79,"Railway Colony, Guwahati - APCB_6941"
291,2015-10-19,0.0,83,"Railway Colony, Guwahati - APCB_6941"
292,2015-10-20,0.0,85,"Railway Colony, Guwahati - APCB_6941"
293,2015-10-21,0.1,84,"Railway Colony, Guwahati - APCB_6941"
294,2015-10-22,1.7,84,"Railway Colony, Guwahati - APCB_6941"
295,2015-10-23,3.0,90,"Railway Colony, Guwahati - APCB_6941"
296,2015-10-24,0.4,87,"Railway Colony, Guwahati - APCB_6941"
297,2015-10-25,0.0,81,"Railway Colony, Guwahati - APCB_6941"
298,2015-10-26,0.0,79,"Railway Colony, Guwahati - APCB_6941"
299,2015-10-27,0.0,80,"Railway Colony, Guwahati - APCB_6941"
300,2015-10-28,0.0,76,"Railway Colony, Guwahati - APCB_6941"
301,2015-10-29,0.0,75,"Railway Colony, Guwahati - APCB_6941"
302,2015-10-30,0.0,76,"Railway Colony, Guwahati - APCB_6941"
303,2015-10-31,0.5,79,"Railway Colony, Guwahati - APCB_6941"
304,2015-11-01,0.0,78,"Railway Colony, Guwahati - APCB_6941"
305,2015-11-02,3.2,80,"Railway Colony, Guwahati - APCB_6941"
306,2015-11-03,0.2,83,"Railway Colony, Guwahati - APCB_6941"
307,2015-11-04,1.0,84,"Railway Colony, Guwahati - APCB_6941"
308,2015-11-05,0.3,85,"Railway Colony, Guwahati - APCB_6941"
309,2015-11-06,0.5,85,"Railway Colony, Guwahati - APCB_6941"
310,2015-11-07,0.0,79,"Railway Colony, Guwahati - APCB_6941"
311,2015-11-08,0.0,74,"Railway Colony, Guwahati - APCB_6941"
312,2015-11-09,0.0,73,"Railway Colony, Guwahati - APCB_6941"
313,2015-11-10,0.0,73,"Railway Colony, Guwahati - APCB_6941"
314,2015-11-11,0.0,70,"Railway Colony, Guwahati - APCB_6941"
315,2015-11-12,0.0,71,"Railway Colony, Guwahati - APCB_6941"
316,2015-11-13,0.0,74,"Railway Colony, Guwahati - APCB_6941"
317,2015-11-14,0.2,76,"Railway Colony, Guwahati - APCB_6941"
318,2015-11-15,0.8,81,"Railway Colony, Guwahati - APCB_6941"
319,2015-11-16,0.1,82,"Railway Colony, Guwahati - APCB_6941"
320,2015-11-17,0.0,83,"Railway Colony, Guwahati - APCB_6941"
321,2015-11-18,0.1,84,"Railway Colony, Guwahati - APCB_6941"
322,2015-11-19,0.0,81,"Railway Colony, Guwahati - APCB_6941"
323,2015-11-20,0.0,79,"Railway Colony, Guwahati - APCB_6941"
324,2015-11-21,0.0,79,"Railway Colony, Guwahati - APCB_6941"
325,2015-11-22,0.0,77,"Railway Colony, Guwahati - APCB_6941"
326,2015-11-23,0.0,74,"Railway Colony, Guwahati - APCB_6941"
327,2015-11-24,0.0,76,"Railway Colony, Guwahati - APCB_6941"
328,2015-11-25,0.0,76,"Railway Colony, Guwahati - APCB_6941"
329,2015-11-26,0.0,71,"Railway Colony, Guwahati - APCB_6941"
330,2015-11-27,0.0,74,"Railway Colony, Guwahati - APCB_6941"
331,2015-11-28,0.0,72,"Railway Colony, Guwahati - APCB_6941"
332,2015-11-29,0.0,73,"Railway Colony, Guwahati - APCB_6941"
333,2015-11-30,0.0,73,"Railway Colony, Guwahati - APCB_6941"
334,2015-12-01,0.0,77,"Railway Colony, Guwahati - APCB_6941"
335,2015-12-02,0.0,78,"Railway Colony, Guwahati - APCB_6941"
336,2015-12-03,1.2,84,"Railway Colony, Guwahati - APCB_6941"
337,2015-12-04,0.5,84,"Railway Colony, Guwahati - APCB_6941"
338,2015-12-05,0.0,82,"Railway Colony, Guwahati - APCB_6941"
339,2015-12-06,0.0,78,"Railway Colony, Guwahati - APCB_6941"
340,2015-12-07,0.0,77,"Railway Colony, Guwahati - APCB_6941"
341,2015-12-08,0.3,77,"Railway Colony, Guwahati - APCB_6941"
342,2015-12-09,0.0,74,"Railway Colony, Guwahati - APCB_6941"
343,2015-12-10,0.0,79,"Railway Colony, Guwahati - APCB_6941"
344,2015-12-11,1.8,85,"Railway Colony, Guwahati - APCB_6941"
345,2015-12-12,6.1,90,"Railway Colony, Guwahati - APCB_6941"
346,2015-12-13,1.1,85,"Railway Colony, Guwahati - APCB_6941"
347,2015-12-14,0.0,84,"Railway Colony, Guwahati - APCB_6941"
348,2015-12-15,0.1,84,"Railway Colony, Guwahati - APCB_6941"
349,2015-12-16,0.0,75,"Railway Colony, Guwahati - APCB_6941"
350,2015-12-17,0.0,73,"Railway Colony, Guwahati - APCB_6941"
351,2015-12-18,0.0,75,"Railway Colony, Guwahati - APCB_6941"
352,2015-12-19,0.5,80,"Railway Colony, Guwahati - APCB_6941"
353,2015-12-20,0.0,78,"Railway Colony, Guwahati - APCB_6941"
354,2015-12-21,0.0,74,"Railway Colony, Guwahati - APCB_6941"
355,2015-12-22,0.0,73,"Railway Colony, Guwahati - APCB_6941"
356,2015-12-23,0.0,73,"Railway Colony, Guwahati - APCB_6941"
357,2015-12-24,0.0,69,"Railway Colony, Guwahati - APCB_6941"
358,2015-12-25,0.0,66,"Railway Colony, Guwahati - APCB_6941"
359,2015-12-26,0.0,74,"Railway Colony, Guwahati - APCB_6941"
360,2015-12-27,0.0,72,"Railway Colony, Guwahati - APCB_6941"
361,2015-12-28,0.0,76,"Railway Colony, Guwahati - APCB_6941"
362,2015-12-29,0.0,70,"Railway Colony, Guwahati - APCB_6941"
363,2015-12-30,0.0,74,"Railway Colony, Guwahati - APCB_6941"
364,2015-12-31,0.2,77,"Railway Colony, Guwahati - APCB_6941"
365,2016-01-01,0.0,78,"Railway Colony, Guwahati - APCB_6941"
366,2016-01-02,0.0,76,"Railway Colony, Guwahati - APCB_6941"
367,2016-01-03,0.0,75,"Railway Colony, Guwahati - APCB_6941"
368,2016-01-04,0.0,72,"Railway Colony, Guwahati - APCB_6941"
369,2016-01-05,0.0,76,"Railway Colony, Guwahati - APCB_6941"
370,2016-01-06,0.0,67,"Railway Colony, Guwahati - APCB_6941"
371,2016-01-07,0.0,70,"Railway Colony, Guwahati - APCB_6941"
372,2016-01-08,0.8,73,"Railway Colony, Guwahati - APCB_6941"
373,2016-01-09,23.1,92,"Railway Colony, Guwahati - APCB_6941"
374,2016-01-10,0.2,83,"Railway Colony, Guwahati - APCB_6941"
375,2016-01-11,0.0,78,"Railway Colony, Guwahati - APCB_6941"
